Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,35.78,0,0,0,0,0,0,0,0,0,0
0,14.37,0,0,0,0,0,0,0,0,0,0
18.36,28.14,0,0,0,7.78,0,6.77,0,0,0,0
28.34,0,0,0,26.75,0,0,0,0,0,0,0
25.76,0,0,0,0,0,0,0,0,0,0,0
14.96,11.58,13.58,0,0,0,32.99,51.97,16.98,0,9.98,0
0,27.94,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,22.54,32.31,29.33,0,11.77,21.37,0,0,0,33.47,0
28.98,0,13.97,0,0,0,0,0,0,0,0,0
0,11.77,0,14.96,0,0,0,0,0,0,0,0
29.73,0,0,0,0,0,0,0,0,0,0,0
0,74.85,0,0,0,0,65.68,0,52.96,0,0,54.47
0,99.54,100.37,0,0,0,0,0,0,0,0,0
0,80.73,0,0,0,0,0,0,0,0,42.46,0
34.36,0,0,0,0,13.97,0,0,0,0,0,0
0,11.77,0,0,0,0,0,0,0,35.97,0,0
0,38.95,0,0,0,0,0,0,0,0,0,0
0,10.77,0,0,0,0,0,0,0,0,0,0
0,9.97,0,0,0,0,0,0,0,0,0,0
0,56.97,0,11.77,0,0,0,0,0,0,0,0
0,33.74,0,0,0,0,0,0,0,0,0,0
11.77,0,0,0,0,14.96,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
59.9,52.67,14.96,106.1,0,0,0,38.5,22.98,25.98,12.99,188.38
5.78,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,45.98,0,24.48,0
91.2,0,126.71,14.96,0,0,0,0,2.99,0,0,0
29.92,0,0,0,0,0,0,0,0,0,0,0
15.99,0,0,0,0,0,0,0,0,0,2.99,0
27.73,0,0,14.96,0,40.7,0,48.68,0,0,41.47,0
59.85,0,0,0,0,119.05,70.26,58.67,59.45,42.96,63.45,0
9.77,0,0,0,0,0,0,0,0,0,0,0
40.1,15.76,34.33,0,0,0,50.1,0,0,0,0,0
13.77,0,0,0,0,0,0,0,0,0,0,0
30.93,0,0,0,0,0,0,0,0,0,0,0
84.61,0,0,0,0,0,0,0,0,0,0,0
32.24,0,0,0,0,0,0,0,0,201.88,0,0
0,22.96,0,0,0,0,0,0,0,0,0,0
0,12.49,0,0,0,0,0,0,0,0,0,0
52.48,0,0,0,0,0,0,0,0,0,0,0
0,29.33,0,0,0,0,0,0,0,0,0,0
29.33,14.96,0,0,0,0,0,0,0,0,72.43,0
39.54,0,0,0,0,19.77,0,0,0,0,0,0
14.96,0,0,0,0,0,0,0,0,0,0,0
0,29.92,0,0,0,0,21.77,29.93,0,0,0,0
0,0,0,79.2,0,0,0,0,0,0,0,0
0,6.77,0,0,0,0,0,0,0,0,0,0
31.53,0,0,0,0,0,0,0,16.99,0,0,12.49
21.74,0,23.94,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,20.86,14.37,0,0,0,0,0,0,0,0,0
55.46,41.98,43.94,11.77,0,0,0,0,0,0,12.99,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,37.9,0,0,44.29,41.1,0,0,0,0,0,0
0,0,0,0,62.97,0,42.9,0,0,0,0,0
28.74,0,0,0,0,0,0,0,0,0,0,0
0,63.69,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
12.77,0,0,0,0,0,0,0,0,0,0,0
12.97,0,11.78,0,0,0,0,0,0,0,0,0
0,14.37,0,0,0,0,0,0,0,0,0,0
4.79,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
24.94,0,0,0,0,0,0,0,0,0,0,61.47
31.35,0,0,0,0,0,0,0,0,0,0,0
43.35,0,0,0,0,0,0,0,0,0,0,0
0,79.2,0,0,0,0,0,0,0,0,0,0
119.93,0,93.24,0,0,0,111.31,0,0,48.98,262.35,26.48
0,14.99,0,0,0,29.98,0,0,0,0,0,0
0,10.77,0,0,0,0,0,0,0,0,0,0
0,15.36,0,0,0,0,0,28.73,0,0,0,0
0,12.9,0,0,0,15.96,0,0,0,0,0,0
10.77,0,0,0,0,0,0,0,0,0,0,0
66.84,0,0,0,0,0,0,0,0,0,0,0
13.97,48.88,0,0,14.96,0,63.67,64.43,0,73.95,0,0
111.49,0,22.4,0,0,0,0,0,0,0,0,0
0,0,0,14.96,0,0,0,0,0,0,0,0
38.99,0,0,0,0,0,0,0,0,0,0,0
86.6,0,0,0,0,0,0,0,0,0,0,0
0,16.99,0,0,0,0,0,0,0,0,0,0
23.54,0,0,0,0,0,0,0,0,0,0,15.49
13.97,0,0,0,0,0,0,0,0,0,0,0
0,80.06,0,0,0,0,9.97,0,0,0,0,0
41.9,0,0,0,0,0,0,0,0,0,0,0
0,13.97,16.7,0,0,0,0,0,15.49,0,0,0
0,26.56,0,0,0,0,0,0,0,0,0,0
13.99,0,0,0,0,0,0,0,0,0,0,0
9.77,15.99,0,47.33,0,59.74,0,0,0,0,32.98,0
0,0,0,0,0,0,0,0,0,0,0,0
0,14.96,0,0,0,11.77,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
75.97,0,0,0,0,0,0,0,0,0,0,0
0,32.48,0,0,0,0,0,0,0,0,0,0
10.99,0,0,0,0,44.28,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
80.3,32.37,0,0,0,0,0,0,0,0,0,0
104.17,0,0,0,0,128.89,0,0,0,0,0,0
0,28.74,0,0,0,0,0,0,0,0,0,33.47
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,163.61,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,11.77,0,0,0,0,0,0,0,0,0,0
0,35.95,0,0,0,0,0,0,0,0,0,0
0,22.73,0,0,0,0,0,0,0,0,0,0
27.57,0,30.92,0,0,0,0,0,0,0,0,0
11.77,65.85,58.25,0,53.48,46.68,567.25,98.31,149.4,82.94,23.98,63.95
0,0,0,0,0,0,0,0,0,0,0,0
21.28,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
26.73,0,0,0,0,0,0,0,0,0,0,0
66.85,0,0,0,0,0,0,0,0,0,56.96,0
28.47,0,0,0,29.73,0,0,0,0,0,0,0
12.97,0,0,0,0,0,0,0,0,0,0,0
735.54,0,0,0,0,0,0,0,0,0,0,0
16.7,0,0,0,0,0,0,0,0,0,0,0
0,26.93,0,13.77,0,0,0,21,0,11.49,11.49,0
0,20.99,0,0,0,0,0,0,0,0,0,0
22.7,0,0,0,0,0,0,0,0,0,0,0
32.92,0,84.96,77.01,72.2,0,0,0,0,0,0,0
0,16.96,0,0,0,0,29.92,0,0,0,0,0
16.96,0,14.37,0,11.77,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
68.51,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,25.74,0,0,0,0,0,0,0,0,0,0
15.36,0,0,0,0,0,0,0,0,0,0,0
242.98,0,0,0,0,0,0,0,0,0,0,0
0,28.47,0,0,0,0,0,0,0,0,0,0
30.73,0,37.54,0,24.54,0,0,0,20.99,0,0,0
32.72,0,0,0,0,0,0,0,0,0,0,0
0,93.4,0,0,0,0,0,0,0,0,0,0
44.37,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
49.96,26.37,24.98,194.38,5.78,12.25,17.24,0,0,86.43,113.4,0
0,0,0,0,0,0,0,0,0,0,0,0
0,158.43,0,0,0,0,0,0,0,0,0,0
61.09,0,166.25,0,0,41.5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
15.36,0,0,0,0,0,0,0,0,0,0,0
0,13.97,0,0,0,0,0,0,0,0,0,0
0,17.9,0,0,0,0,0,0,0,0,0,0
0,14.37,0,0,0,59.3,14.96,0,0,0,0,0
0,41.77,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,28.34,14.96,0,0,0,0,0,0,0,0,0
0,5.78,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,27.28,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,15.96,0,27.77,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,69.47,0,0,82.33,0,0,0,0,0,0,0
0,18.76,0,0,0,0,0,0,0,0,0,0
17.76,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,0,0,0,0
32.32,0,0,0,0,0,0,0,0,0,0,0
85.39,26.93,0,0,0,0,0,8.79,52.95,0,0,25.48
0,68.06,52.5,0,0,0,0,0,0,0,0,0
24.96,25.94,0,0,0,0,0,0,0,0,0,0
0,28.14,0,32.51,0,0,0,0,0,0,0,0
0,71.83,0,0,0,0,0,0,0,0,0,0
28.99,0,0,0,38.51,0,0,0,0,0,0,0
0,121.29,81,0,0,16.36,0,0,0,0,107.45,0
12.97,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
25.34,0,0,26.54,0,0,27.94,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
31.52,0,0,0,0,0,0,0,0,0,0,0
34.97,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,29.92,0,0,0,0,0,0,0,0,0,14.49
0,89.35,44.88,45.09,0,0,0,0,0,25.98,47.48,0
0,0,0,0,0,0,0,0,0,0,0,0
0,14.37,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
15.96,0,0,0,0,0,0,0,0,0,0,0
15.7,0,24.99,0,0,0,0,0,0,0,0,0
29.99,0,0,0,0,0,0,0,0,0,0,0
0,23.99,0,0,0,0,0,0,0,0,0,0
0,18.76,0,0,0,0,0,0,0,0,0,0
14.96,0,0,0,0,0,0,0,0,0,0,0
0,19.99,0,0,0,0,0,0,0,0,0,0
0,19.97,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,14.99,0,0,0,0
11.77,0,9.77,10.98,24.75,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,14.99,176.86,0,0,0,0,0,0,0,0,0
0,10.97,0,0,0,0,0,0,0,0,0,0
28.76,0,0,0,0,0,0,0,0,0,0,0
74.95,0,0,0,0,0,0,0,0,61.96,0,14.49
0,15.36,0,0,0,0,0,0,0,0,0,0
27.73,0,0,0,0,0,0,0,0,0,0,0
35.76,13.97,0,0,0,0,0,0,0,0,0,0
3.99,0,0,0,0,0,0,0,0,0,0,0
0,30.76,24.73,0,0,0,0,0,0,0,0,0
0,0,0,38.71,0,0,0,0,61.44,0,0,30.47
0,6.79,0,0,0,0,0,0,0,0,0,0
0,14.37,0,0,0,0,0,0,0,0,0,0
0,50.73,0,0,0,0,0,0,0,0,0,0
0,101.41,0,0,0,0,210.85,14.96,53.46,105.93,418.69,202.83
0,33.72,0,0,18.77,0,0,40.53,0,26.48,0,22.49
39.7,0,0,0,0,0,0,0,0,0,0,0
0,25.56,0,11.77,0,0,0,0,0,0,0,0
57.99,42.93,0,0,30.37,0,0,0,0,0,0,0
0,14.49,0,0,0,0,0,0,0,0,0,0
0,12.49,0,0,0,0,0,0,0,0,0,0
26.99,0,0,0,0,9.98,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,11.77,0,0,0,0,0,0,12.99,0,12.99,0
0,40.11,0,0,0,0,0,0,0,0,0,0
0,24.74,35.34,26.13,0,26.14,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
22.75,0,0,53.33,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
28.93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29.75,0,0,0,12.99,0,0,0
0,30.78,0,0,0,0,0,0,0,0,0,0
0,14.79,0,0,0,0,0,0,0,0,0,0
0,13.97,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,49.47,0,0
0,0,0,0,0,0,15.36,0,0,0,0,0
0,0,38.93,41.31,0,11.77,17.7,30.72,0,0,71.45,0
50.94,0,0,0,0,0,0,0,0,0,0,0
12.97,0,0,0,0,0,0,0,0,0,0,0
19.54,0,0,0,0,0,0,0,0,0,0,0
23.54,0,0,0,0,0,0,0,0,0,0,0
9.98,0,0,0,0,0,0,0,0,0,0,0
19.99,0,0,0,0,0,0,0,0,0,0,0
11.77,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
15.96,0,0,0,0,0,0,0,0,0,0,0
0,27.99,13.97,26.22,0,0,0,0,0,0,0,0
0,23.94,0,0,0,0,0,0,0,0,0,0
179.21,0,0,0,0,0,0,0,0,0,0,0
126.37,0,0,0,0,0,0,0,0,0,0,0
63.45,38.51,0,0,0,0,0,0,40.97,0,0,0
14.96,0,0,0,0,0,0,0,0,0,0,0
44.98,0,0,0,0,0,0,0,0,0,0,0
0,14.96,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,45.88,0,0,0,0,0,0,0,0,0,26.98
0,15.36,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,21.7,22.99,0,0,0,0,0,0,0,0,0
10.77,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,14.96,0,0,0,0,26.48
0,11.97,0,0,0,0,0,0,0,0,0,0
0,116.31,67.48,38.5,118.93,0,0,0,0,0,0,0
27.99,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
13.97,0,0,0,0,0,0,0,0,0,0,0
202.71,117.72,68.05,114.19,0,0,0,0,0,0,117.43,52.47
0,50.45,0,0,0,63.35,35.11,0,38.47,0,115.92,0
0,62.03,0,38.11,0,24.14,0,48.86,60.97,20.48,29.98,40.47
0,19.99,0,0,0,0,0,0,0,0,0,0
6.79,0,0,0,0,0,0,0,0,0,0,0
0,55.06,66.43,0,0,0,0,0,0,0,0,0
0,27.47,0,0,0,0,0,0,0,0,0,0
0,75.25,0,0,0,0,0,0,0,0,0,0
42.77,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,29.49,0,0
0,14.9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
30.67,14.96,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
59.28,0,0,0,0,0,0,0,0,0,0,0
36.97,0,0,0,0,0,0,0,0,0,0,0
14.37,0,0,0,0,0,0,0,0,0,0,0
33.94,0,0,0,0,0,0,0,0,0,0,0
0,23.76,44.69,0,45.51,0,0,0,0,0,0,41.47
9.99,0,0,0,0,0,0,0,0,0,0,0
192.12,132.91,100.39,15.36,0,21.54,110.53,0,28.48,26.98,151.38,62.44
0,17.7,0,12.25,0,0,0,32.45,0,37.47,0,0
0,9.99,0,0,0,0,0,0,0,0,0,0
0,10.77,0,0,0,0,0,0,0,0,0,0
12.49,29.92,13.97,0,0,0,0,0,0,0,0,0
0,55.97,0,0,0,0,0,0,0,0,0,0
0,0,0,69.84,0,0,0,0,0,0,0,0
44.98,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,19.99,0,0,21,0,0,0,0,0,0,0
0,38.77,0,0,0,0,0,0,0,0,58.46,0
0,0,0,0,0,0,0,0,0,0,0,0
11.77,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
12.49,0,0,0,0,0,0,0,0,0,0,0
0,11.77,0,14.37,0,0,0,0,0,0,0,24.98
0,14.96,0,28.34,73.02,104.68,14.96,86,68.96,0,22.98,40.46
16.7,0,0,0,0,0,0,0,0,0,0,0
0,14.79,0,0,0,0,0,0,0,0,0,0
0,14.37,0,0,0,0,0,0,0,0,0,0
0,70.82,0,0,0,0,0,0,0,0,0,0
44.08,0,52.47,0,29.42,0,11.56,0,0,0,0,0
0,20.3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,71.45,0,0,0,0,0,0
0,13.97,0,29.73,14.37,29.73,26.73,0,13.99,14.99,0,0
0,0,0,0,71.02,0,45.09,0,0,0,0,0
0,0,14.9,0,14.99,31.6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
34.6,17.3,0,0,0,0,0,0,0,0,0,0
0,23.51,0,0,11.77,0,118.23,13.97,0,12.99,0,47.46
24.99,0,0,0,0,0,0,0,0,0,0,0
0,13.97,0,0,0,0,0,0,0,0,0,0
15.36,0,0,0,0,0,0,0,0,0,0,0
0,57.48,0,0,0,0,0,0,0,0,0,0
0,11.77,0,0,0,0,14.96,0,0,13.99,0,0
11.77,0,0,0,0,0,0,0,0,0,0,0
0,13.99,0,0,0,0,0,0,0,0,0,0
0,11.77,14.96,28.74,0,0,0,0,0,0,27.48,5.49
61.45,0,0,0,0,0,0,0,0,0,0,0
89.2,65.63,189,0,0,0,0,0,0,0,0,0
15.96,0,0,57.06,0,44.3,28.97,72.89,0,25.98,0,12.99
36.67,0,0,0,0,0,0,0,0,0,0,0
0,19.97,0,0,0,0,23.76,44.52,12.99,0,28.98,60.96
0,28.86,19.3,0,0,0,0,0,0,0,0,0
0,29.33,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,62.99,0,0
0,0,0,0,0,0,0,0,0,0,0,0
15.96,0,0,0,0,0,0,0,0,0,0,0
21.99,0,0,0,0,0,0,0,0,0,0,0
0,13.97,0,0,0,0,0,0,0,0,0,0
30.13,0,0,0,0,0,0,0,11.49,0,0,0
0,70.62,40.08,47.1,12.77,0,0,15.36,11.99,22.98,50.96,37.47
104.34,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
26.98,0,0,0,0,0,0,0,0,0,0,0
0,323.68,0,0,0,0,0,0,0,0,0,0
0,29.92,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,31.48,0,0,0
22.74,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
32.99,28.27,12.49,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.78,9.98,0,0,9.49,12.49,0
0,22.77,0,0,0,0,0,0,0,0,0,0
20.99,0,0,0,0,0,0,0,0,0,0,0
0,12.49,0,0,0,0,0,0,0,0,0,0
9.97,9.99,0,0,0,15.96,0,10.77,0,0,39.48,12.99
0,21.99,0,0,0,0,0,0,0,0,0,0
0,78.8,0,0,0,0,0,0,0,0,0,0
0,28.93,46.93,71.3,38.91,42.31,0,72.24,27.98,53.96,39.97,52.46
0,15.36,0,0,0,0,0,0,0,0,17.48,0
0,0,0,0,0,0,0,0,0,0,0,0
38.76,16.36,0,0,0,14.79,0,0,0,0,0,0
0,62.11,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
51.7,0,0,0,0,0,0,0,0,0,0,117.43
13.97,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,176.45,0,0,0,0,0,0,40.46,0,0
28.93,15.36,0,0,29.54,15.76,0,0,14.48,0,0,44.47
0,0,0,0,0,16.7,0,0,0,0,0,0
20.97,13.97,0,0,0,0,0,0,0,0,0,0
0,0,0,28.13,0,0,0,22.97,0,0,0,0
0,12.77,0,0,12.77,0,0,0,0,0,0,0
25.74,0,0,0,0,0,0,0,0,0,0,0
15.36,0,0,0,0,0,0,0,0,0,0,0
15.36,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
188.85,92.38,0,107.39,0,76.84,0,0,93.44,0,122.91,54.96
9.99,49.98,14.96,0,0,0,9.99,14.99,40.97,22.48,19.49,12.99
57.9,0,0,0,0,0,0,0,0,0,0,0
17.99,0,0,0,0,0,0,0,0,0,0,0
0,17.9,0,0,0,0,0,0,12.99,0,61.45,12.99
49.99,0,0,0,0,0,0,0,0,0,0,0
40.92,118.35,147.6,138.74,55.65,0,0,7.49,42.96,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
81.96,0,0,0,0,0,0,0,0,0,0,0
0,31.51,0,0,0,0,0,0,0,0,0,0
0,14.96,0,0,0,0,0,0,0,0,18.49,0
29.92,0,0,0,0,0,0,0,0,0,0,0
0,22.55,0,0,0,0,0,0,0,0,0,0
8.97,0,0,0,0,0,0,0,0,0,0,0
0,46.32,0,0,0,0,14.37,0,0,0,0,0
0,13.97,0,0,0,0,0,0,0,0,0,0
0,58.94,0,14.96,0,0,0,0,28.48,0,0,0
23.99,0,58.97,0,0,0,0,0,0,0,0,0
0,26.77,0,0,0,0,0,0,0,0,29.98,0
41.5,18.76,0,0,0,0,0,0,0,0,0,0
0,25.73,0,0,0,0,0,38.7,0,34.48,0,0
24.73,26.14,37.91,0,0,0,56.92,0,0,0,0,0
0,14.96,0,0,0,0,0,0,0,0,0,0
0,69.97,0,0,0,0,0,0,0,0,0,0
0,54.47,56.98,0,0,0,0,0,0,0,0,0
98.97,0,0,0,0,0,0,0,0,0,0,0
0,14.96,0,0,0,0,0,0,0,0,0,0
58.28,0,0,0,0,0,0,0,0,0,0,0
9.98,0,13.97,0,0,0,0,0,0,0,10.49,10.49
15.36,0,0,0,0,11.77,0,0,0,0,0,0
40.9,0,0,0,0,31.32,0,0,0,0,0,0
0,0,0,0,0,0,0,14.96,0,0,0,0
0,0,0,0,0,9.77,0,0,0,0,0,0
40.97,0,0,0,0,0,0,0,0,0,0,0
0,9.77,0,0,0,0,0,0,0,0,0,0
0,15.38,0,0,0,0,0,0,0,0,0,0
0,35.31,0,0,0,0,0,0,0,0,0,0
0,0,0,27.73,26.14,0,0,0,0,27.98,0,0
0,25.74,0,0,0,0,0,0,0,0,0,0
0,13.97,0,0,0,0,0,0,0,0,0,0
15.99,32.48,0,0,0,0,0,0,0,0,0,0
24.37,0,0,0,0,0,0,0,0,0,0,0
0,77.34,0,0,0,0,0,15.36,42.47,0,82.44,0
0,14.37,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,18.98,0,0,43.96
0,16.36,0,0,0,0,0,0,0,12.98,15.49,0
11.99,0,0,0,0,0,0,0,0,0,0,0
0,33.27,30.73,0,0,0,0,0,0,11.99,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,43.13,0,0,0,0,0,0,0,0
0,11.77,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
6.79,0,0,0,0,0,0,0,0,0,0,0
18.56,15.55,14.37,6.79,0,0,0,0,0,0,0,0
46.08,0,28.34,0,0,0,0,0,0,0,0,0
0,6.79,0,0,0,0,0,0,0,0,0,0
12.57,0,0,0,0,0,0,0,0,0,29.97,0
0,13.97,0,0,0,13.97,0,0,0,0,0,0
0,15.36,55.71,0,63.07,73.07,26.73,46.13,24.48,26.98,25.48,230.39
0,0,0,0,0,0,0,0,12.99,0,0,0
0,44.34,0,0,29.93,0,47.52,0,0,0,0,0
0,43.89,43.7,0,0,39.71,0,0,16.99,0,0,0
94.4,0,0,0,0,0,0,56.92,0,18.98,0,0
0,0,0,0,0,0,0,0,0,0,0,0
44.69,0,150.67,0,0,25.74,109.42,0,0,38.97,0,0
0,40.5,28.93,11.77,0,0,0,0,0,0,0,25.98
12.49,0,0,0,0,0,0,0,0,0,0,0
0,38.29,0,0,0,0,0,0,0,0,0,0
0,14.37,0,0,0,0,0,0,0,0,0,0
8.97,0,0,0,0,0,0,0,0,0,0,0
125.89,19.99,0,0,0,0,0,70.83,35.97,0,0,0
8.97,0,0,0,0,0,0,0,0,0,0,0
0,29.75,0,0,0,0,0,0,0,0,0,0
