t,product,price,demand_thousands,income
27,prod_3,10.04,0.003,100.16
28,prod_1,9.02,0.003,98.92
28,prod_2,10.04,0.003,98.92
28,prod_3,9.4,0.003,98.92
29,prod_1,8.59,0.003,100.68
29,prod_2,10.02,0.003,100.68
29,prod_3,9.95,0.003,100.68
30,prod_1,8.88,0.003,98.32
30,prod_2,9.85,0.003,98.32
30,prod_3,9.75,0.003,98.32
31,prod_1,9.0,0.002,95.46
31,prod_2,10.21,0.003,95.46
31,prod_3,9.5,0.002,95.46
32,prod_1,9.14,0.003,93.33
32,prod_2,9.68,0.002,93.33
32,prod_3,9.52,0.002,93.33
33,prod_1,9.82,0.003,95.53
33,prod_2,9.5,0.002,95.53
33,prod_3,8.84,0.002,95.53
34,prod_1,10.25,0.002,93.87
34,prod_2,9.47,0.002,93.87
34,prod_3,9.09,0.003,93.87
35,prod_1,10.15,0.002,93.87
35,prod_2,9.81,0.003,93.87
35,prod_3,9.09,0.003,93.87
36,prod_1,9.4,0.003,93.03
36,prod_2,9.37,0.003,93.03
36,prod_3,9.27,0.002,93.03
37,prod_1,9.26,0.003,91.74
37,prod_2,9.17,0.003,91.74
37,prod_3,9.3,0.003,91.74
38,prod_1,9.68,0.003,92.13
38,prod_2,9.71,0.003,92.13
38,prod_3,9.07,0.003,92.13
39,prod_1,9.96,0.003,92.56
39,prod_2,9.5,0.003,92.56
39,prod_3,8.71,0.003,92.56
40,prod_1,9.95,0.003,96.88
40,prod_2,9.07,0.003,96.88
40,prod_3,12.42,0.002,96.88
41,prod_1,9.56,0.003,96.44
41,prod_2,8.91,0.003,96.44
41,prod_3,11.7,0.002,96.44
42,prod_1,9.53,0.003,97.2
42,prod_2,9.11,0.003,97.2
42,prod_3,11.29,0.002,97.2
43,prod_1,9.75,0.002,101.37
43,prod_2,9.38,0.002,101.37
43,prod_3,11.41,0.002,101.37
44,prod_1,9.1,0.003,104.04
44,prod_2,10.09,0.002,104.04
44,prod_3,12.33,0.002,104.04
45,prod_1,9.23,0.003,104.84
45,prod_2,10.65,0.002,104.84
45,prod_3,11.85,0.002,104.84
46,prod_1,9.71,0.003,106.16
46,prod_2,9.2,0.003,106.16
46,prod_3,11.54,0.002,106.16
47,prod_1,10.47,0.002,105.4
47,prod_2,9.35,0.003,105.4
47,prod_3,11.21,0.002,105.4
48,prod_1,10.48,0.002,106.54
48,prod_2,9.66,0.003,106.54
48,prod_3,11.04,0.002,106.54
49,prod_1,10.75,0.002,106.39
49,prod_2,10.15,0.003,106.39
49,prod_3,10.8,0.002,106.39
50,prod_1,10.19,0.002,103.97
50,prod_2,10.13,0.003,103.97
50,prod_3,10.52,0.002,103.97
51,prod_1,10.05,0.003,107.15
51,prod_2,10.92,0.002,107.15
51,prod_3,10.92,0.002,107.15
52,prod_1,10.67,0.002,106.37
52,prod_2,10.07,0.003,106.37
52,prod_3,11.38,0.002,106.37
53,prod_1,9.89,0.003,106.89
53,prod_2,11.93,0.002,106.89
53,prod_3,11.43,0.002,106.89
54,prod_1,10.23,0.002,105.08
54,prod_2,11.05,0.002,105.08
54,prod_3,11.44,0.002,105.08
55,prod_1,9.23,0.003,102.04
55,prod_2,10.78,0.002,102.04
55,prod_3,11.61,0.002,102.04
56,prod_1,8.95,0.003,98.3
56,prod_2,8.93,0.003,98.3
56,prod_3,11.39,0.002,98.3
57,prod_1,9.39,0.003,92.18
57,prod_2,8.52,0.003,92.18
57,prod_3,10.48,0.002,92.18
58,prod_1,9.46,0.003,94.02
58,prod_2,8.77,0.003,94.02
58,prod_3,10.43,0.002,94.02
59,prod_1,9.8,0.002,91.34
59,prod_2,8.75,0.003,91.34
59,prod_3,9.98,0.002,91.34
60,prod_1,10.53,0.002,91.15
60,prod_2,8.52,0.003,91.15
60,prod_3,9.51,0.002,91.15
61,prod_1,11.1,0.002,91.95
61,prod_2,8.7,0.003,91.95
61,prod_3,9.41,0.002,91.95
62,prod_1,10.78,0.003,89.97
62,prod_2,8.79,0.003,89.97
62,prod_3,9.7,0.003,89.97
63,prod_1,10.29,0.003,89.94
63,prod_2,9.02,0.003,89.94
63,prod_3,10.14,0.002,89.94
64,prod_1,10.77,0.003,91.52
64,prod_2,8.96,0.003,91.52
64,prod_3,9.85,0.003,91.52
65,prod_1,10.9,0.002,91.84
65,prod_2,9.1,0.002,91.84
65,prod_3,9.99,0.002,91.84
66,prod_1,10.73,0.002,93.62
66,prod_2,8.99,0.002,93.62
66,prod_3,11.13,0.002,93.62
67,prod_1,11.08,0.002,89.33
67,prod_2,9.0,0.002,89.33
67,prod_3,11.35,0.002,89.33
68,prod_1,9.77,0.002,91.35
68,prod_2,9.03,0.002,91.35
68,prod_3,10.56,0.002,91.35
69,prod_1,10.02,0.002,93.7
69,prod_2,8.86,0.002,93.7
69,prod_3,9.8,0.002,93.7
70,prod_1,9.7,0.002,91.77
70,prod_2,8.74,0.002,91.77
70,prod_3,11.91,0.002,91.77
71,prod_1,9.38,0.003,93.92
71,prod_2,9.25,0.003,93.92
71,prod_3,11.68,0.002,93.92
72,prod_1,10.48,0.002,93.71
72,prod_2,9.85,0.003,93.71
72,prod_3,11.97,0.002,93.71
